大区,省份,城市,VE-I代码,4S销售服务店名称,公司地址,销售热线,排班规避时间,执行日期,进店模式,检核员A姓名,
华东二区,安徽,芜湖市,EAH033,芜湖华达汽车销售服务有限公司,芜湖市汽车服务中心3号楼（芜宣高速公路出入口北侧）,0553-5766966,无限制,11月9日,单人,汪子鸿,
华东二区,安徽,宿州,EAH036,宿州蓝航汽车销售服务有限公司,宿州市西昌南路与外环南路交叉口向南1000米路东,0557-2557008,无限制,11月10日,单人,杨诚锐,
华东一区,江苏,淮安市,EJS092,淮安市宏宇翔舜汽车销售服务有限公司,淮安经济开发区翔宇大道33号,0517-83736999,无限制,11月6日,单人,黄林峰,
华东一区,江苏,连云港市,EJS110,连云港上达汽车销售服务有限公司,连云港市解放东路318号,0518-85159888,无限制,11月7日,单人,黄林峰,
华东一区,江苏,泰州市,EJS089,泰州明雅汽车销售服务有限公司,泰州市经济技术开发区汽车城内,0523-80766666,无限制,11月3日,单人,张晓潘,
华东一区,江苏,徐州市,EJS066,江苏远方汽车工贸实业有限责任公司,徐州市鼓楼区三环东路46号,0516-87870888,无限制,11月8日,多人,黄林峰,
华东一区,江苏,盐城市,EJS091,森风集团盐城义德汽车有限公司,盐城市经济开发区希望大道南路9号,88557388,无限制,11月15日,多人,姜美军,
华东一区,江苏,扬州市,EJS105,扬州华美达汽车销售服务有限公司,扬州市江都区长江东路999号,86662888,无限制,11月1日,单人,姜美军,
华东一区,江苏,南京市,EJS096,江苏乾丰汽车销售有限公司,南京市江宁区上高路190号,025-52661666,无限制,11月2日,单人,张晓潘,
华东一区,江苏,南京市,EJS111,南京通孚源汽车销售服务有限公司,南京市栖霞区幕府东路228-2号,025-52238666,无限制,11月2日,单人,张晓潘,
华东一区,江苏,南通市,EJS067,南通银达汽车销售服务有限公司,南通市经济技术开发区星湖大道1085号,0513-85989111,无限制,11月6日,多人,张晓潘,
华东一区,江苏,南通市,EJS103,南通弘业汽车销售有限公司,南通市永和路388号,0513-55889666,无限制,11月6日,多人,张晓潘,
华东一区,江苏,如皋市,EJS101,如皋市金泽汽车销售服务有限公司,如城镇 纪庄社区11组（如皋汽车城有限公司内）,87559999,无限制,11月13日,双人,姜美军,
华东一区,江苏,江阴市,EJS079,江阴市盛达佳颖汽车销售有限公司,江阴市东外环路11号,0510-86407888（销售）,无限制,11月10日,双人,姜美军,
华东一区,江苏,无锡市,EJS078,无锡联众汽车销售服务有限公司,无锡市凤翔北路26号,0510-831366660510-83131510,无限制,11月9日,双人,姜美军,
华东一区,江苏,无锡市,EJS059,无锡市众达汽车销售服务有限公司,无锡市苏锡路金城路交叉口,0510-85405666,无限制,11月8日,双人,姜美军,
华东一区,江苏,无锡市,EJS095,无锡荣事达汽车贸易服务有限公司,无锡市金城东路与新阳路口,0510-85561666,无限制,11月8日,双人,姜美军,
华东一区,江苏,宜兴市,EJS083,宜兴市荣诚汽车销售服务有限公司,宜兴市经济开发区融达汽车城（加油站向南100米）,0510-81719888,无限制,11月7日,双人,姜美军,
华东一区,江苏,常州市,EJS068,常州神马汽车销售服务有限公司,常州市新北区通江中路607号,0519-85153666,无限制,11月6日,双人,姜美军,
华东一区,江苏,常州市,EJS097,常州外汽金程汽车销售服务有限公司,常州市武进区湖塘镇武进汽车城C区1号,0519-88066868,无限制,11月6日,双人,姜美军,
华东一区,江苏,镇江市,EJS112,镇江维力达汽车销售有限公司,镇江市新区丁卯经十二路东,0511-85577777,无限制,11月3日,AB合成,张晓潘,
华东一区,江苏,常熟市,EJS080,常熟市华通汽车销售服务有限公司,江苏省常熟市青墩塘路228号,0512-52308181,无限制,11月7日,单人,张晓潘,
华东一区,江苏,昆山市,EJS087,昆山千江一马汽车销售服务有限公司,昆山市昆嘉路99号,0512-57906666,无限制,11月8日,双人,张晓潘,
华东一区,江苏,苏州市,EZJ037,苏州苏天汽车销售服务有限公司,苏州市工业园区群星三路18号（通园路与群星三路交汇处）,0512-67165666,11月10日-11月13日,11月1日,AB合成,黄林峰,
华东一区,江苏,苏州市,EJS077,苏州国亚达汽车服务有限公司,苏州市相城经济开发区华元路,0512-65786111,11月10日-11月13日,11月1日,AB合成,黄林峰,
华东一区,江苏,苏州市,EJS094,苏州浚和汽车销售服务有限公司,苏州市高新开发区马运路168号,0512-66615111,11月10日-11月13日,11月3日,单人,黄林峰,
华东一区,江苏,太仓市,EJS107,太仓博泰汽车销售服务有限公司,太仓市经济开发区北京西路15号,53686688,无限制,11月10日,单人,张晓潘,
华东一区,江苏,张家港市,EJS081,张家港通城汽车销售服务有限公司,张家港市张杨公路沙钢立交桥南侧,0512-58797888,11月10日-11月12日,11月9日,双人,张晓潘,
华东一区,江苏,吴江市,EJS109,吴江市东顺汽车销售服务有限公司,江苏省苏州市吴江区松陵镇八坼友谊村227省道,,11月03日-11月05日,11月2日,单人,黄林峰,
华东一区,河南,郑州市,NYU045,河南冠豪汽车销售有限公司,郑州市郑东新区汉风路与潭南街交叉口东北角,0371-58631000,11月04日~11月08日,11月10日,单人,黄林峰,
华东一区,河南,南阳市,NYU044,南阳兴业汽车销售服务有限公司,南阳市B11路与经13路交叉口,,无限制,11月17日,单人,黄林峰,
华东一区,河南,焦作市,NYU035,焦作双达汽车销售服务有限公司,焦作高新区塔南路与南海路交叉口西100米,0391-8863333,无限制,11月13日,单人,黄林峰,
华东一区,河南,开封市,NYU043,开封市容基汽车销售服务有限公司,开封市金明大道北段开岗路东侧,0371-22708881,无限制,11月9日,单人,黄林峰,
华东一区,河南,新乡市,NYU037,新乡市弘森汽车销售服务有限公司,新飞大道与静泉路交汇处（五德利面粉厂对面）,0373-5860888,无限制,11月14日,单人,黄林峰,
华东一区,河南,信阳市,NYU042,信阳鑫联汽车销售服务有限公司,河南省信阳市工业城京港澳高速口800米路北,0376-3885988,无限制,11月16日,单人,黄林峰,
华东一区,河南,许昌市,NYU036,许昌正通马六汽车销售服务有限公司,许昌市东城区汽车公园（许州路汽车东站南500米路东）,0374-7098666,无限制,11月15日,单人,黄林峰,
华东一区,河南,郑州市,NYU033,河南裕华紫光汽车销售有限公司,郑州市经济技术开发区航海东路与第七大街交叉口,0371-66777333,11月04日~11月08日,11月10日,单人,黄林峰,
中西部大区,湖北,武汉市,CHB021,武汉利达汽车销售有限责任公司,武汉市汉口江岸区中一路3号,027-65660266,无限制,11月1日,双人,杨诚锐,
中西部大区,湖北,武汉市,CHB023,武汉龙泰汽车销售服务有限公司,武汉市高新技术开发区光谷一号路207号,027-86817666,无限制,11月2日,双人,杨诚锐,
中西部大区,湖北,武汉市,CHB027,湖北捷运宜达汽车销售服务有限公司,武汉市东西湖区临空港大道与金北二路交汇处,027-83377111,无限制,11月1日,双人,汪子鸿,
中西部大区,湖北,宜昌市,CHB025,宜昌恒信天龙汽车销售服务有限公司,宜昌市伍家岗区东站路189号,0717-6858666,无限制,11月3日,AB合成,杨诚锐,
